Restaurant,Cuisine,Budget,Location
Eat Tokyo,Japanese,Moderate,Soho
Flat Iron,British,Moderate,Soho
Dishoom,Indian,Moderate,Kings Cross
Roti King,Malaysian,Cheap,Kings Cross
C and R Café,Malaysian,Cheap,Soho
Burger and Lobster,Burgers,Expensive,Soho
Bibimbap,Korean,Cheap,Soho
Duck and Waffle,British,Expensive,Shoreditch
Aqua Shard,British,Expensive,Southbank
Zuma,Japanese,Expensive,Kensington
Regency Café,British,Cheap,Westminster
Sketch,British,Expensive,Mayfair
Hawksmoor Seven Dials,British,Expensive,Covent Garden
Ffiona's Restaurant,British,Moderate,Kensington
Mother Mash,British,Cheap,Soho
Lanzhou Noodle Bar,Chinese,Cheap,Covent Garden
Mayfair Chippy,Fish and Chips,Moderate,Mayfair
Laughing Halibut,Fish and Chips,Cheap,Westminster
Padella,Italian,Moderate,Southbank
Ye Olde Cheshire Cheese,British,Moderate,City of London
Pieminister,British,Cheap,Westminster
Naru,Korean,Moderate,Soho
The Colonel Fawcett,British,Moderate,Camden
Mien Tay,Vietnamese,Cheap,Shoreditch
Savoir Faire,French,Moderate,Soho
NOPI,Medditerranean,Expensive,Soho
Barrafina,Spanish,Moderate,Covent Garden
Misato,Japanese,Cheap,Soho
Royal China,Chinese,Moderate,Bayswater
Punjab,Indian,Moderate,Covent Garden
Dinner by Heston Bluemental,British,Expensive,Kensington
Homeslice Neal's Yard,Italian,Cheap,Covent Garden
Paolina's Thai Café,Thai,Cheap,Kings Cross
Orjowan Lebanese Cuisine,Middle Eastern,Moderate,Kensington
Rocca,Italian,Moderate,Kensington
Kintan Japanese BBQ,Japanese,Moderate,Covent Garden
Zeitgeist,German,Moderate,Southbank
The Tiroler hut Restaurant,German,Moderate,Bayswater
Domo 94,Italian,Moderate,Camden
Sen Viet,Vietnamese,Moderate,Kings Cross
Smoking Goat,Thai,Moderate,Shoreditch
Mohsen,Middle Eastern,Moderate,Kensington
Jinjuu,Korean,Expensive,Soho
Yauatcha,Chinese,Expensive,Soho
Brizzi's,Italian,Cheap,Kings Cross
Fez Mangal,Middle Eastern,Cheap,Notting Hill
Mango Indian,Indian,Moderate,Southbank
El Parador,Spanish,Moderate,Camden
Lemonia,Medditerranean,Moderate,Camden
The Barbary,Medditerranean,Expensive,Covent Garden
Restaurant Story,British,Expensive,Southbank
Balthazar,French,Expensive,Covent Garden
Andy's Greek Taverna,Medditerranean,Cheap,Camden
Lupita,Mexican,Moderate,Kensington
Alounak,Middle Eastern,Moderate,Bayswater
Makan Café,Malaysian,Cheap,Notting Hill
Yalla Yalla,Middle Eastern,Moderate,Soho
Busaba Soho,Thai,Moderate,Soho
The Athenian Boxpark,Medditerranean,Cheap,Shoreditch
Jamon Jamon,Spanish,Moderate,Camden
Bodean's,Barbeque,Moderate,Soho
Roka,Japanese,Expensive,Canary Wharf
Tom's Kitchen Canary Wharf,British,Moderate,Canary Wharf
Wahaca Canary Wharf,Mexican,Moderate,Canary Wharf
Wagamama Canary Wharf,Japanese,Moderate,Canary Wharf
Zizzi Canary Wharf,Italian,Moderate,Canary Wharf
Iberica Canary Wharf,Spanish,Moderate,Canary Wharf
Yuhoki Japanese Restaurant,Japanese,Cheap,Canary Wharf
Boisdale of Canary Wharf,British,Expensive,Canary Wharf
Leon Canary Wharf,British,Cheap,Canary Wharf
Tortilla Canary Wharf,Mexican,Cheap,Canary Wharf
Bella Cosa Restaurant Canary Wharf,Italian,Expensive,Canary Wharf
Vesuvio Café,Italian,Cheap,Canary Wharf
Royal China Canary Riverside London,Chinese,Moderate,Canary Wharf
Noodle Street,Chinese,Cheap,Canary Wharf
Aniseed,Indian,Cheap,Canary Wharf
Chai Ki,Indian,Moderate,Canary Wharf
Plateau,French,Expensive,Canary Wharf
Café Rouge Canary Wharf,French,Moderate,Canary Wharf
Lemongrass Kitchen,Thai,Moderate,Canary Wharf
Tapaunow,Malaysian,Cheap,Canary Wharf
Big Easy Canary Wharf,Barbeque,Moderate,Canary Wharf
Manhattan Grill Canary Wharf,Barbeque,Expensive,Canary Wharf
Bryon Canary Wharf,Burgers,Moderate,Canary Wharf
Grill'd,Burgers,Cheap,Canary Wharf
Gaucho Canary Wharf,Burgers,Expensive,Canary Wharf
Britannia Fish Bar,Fish and Chips,Cheap,Canary Wharf
The Merchant,Fish and Chips,Moderate,Canary Wharf
Velo,Vietnamese,Cheap,Canary Wharf
Yokoso Korean and Japanese Restaurant,Korean,Moderate,Canary Wharf
Garbanzos,Medditerranean,Cheap,Canary Wharf
The Old Millwall Fire Station Restaurant,Medditerranean,Moderate,Canary Wharf
Kenza ,Middle Eastern,Expensive,Canary Wharf
Byblos Harbour,Middle Eastern,Moderate,Canary Wharf
Misato,Japanese,Cheap,Soho
Engawa,Japanese,Expensive,Soho
Banana Tree Soho,Malaysian,Moderate,Soho
Patara Thai Restaurant,Thai,Expensive,Soho
Siam Café Soho,Thai,Cheap,Soho
Gauthier Soho,French,Expensive,Soho
Pierre Victoire,French,Moderate,Soho
Herman Ze German,German,Cheap,Soho
Bocca di Lupo,Italian,Expensive,Soho
Mele e Pere,Italian,Moderate,Soho
Mister Lasagna,Italian,Cheap,Soho
Tapas Brindisa Soho,Spanish,Moderate,Soho
Aqua Nueva,Spanish,Expensive,Soho
La Bodega Negra,Mexican,Expensive,Soho
Corazon,Mexican,Moderate,Soho
Chilango,Mexican,Cheap,Soho
Masala Zone Soho,Indian,Moderate,Soho
Govinda's Pure Vegetarian Restaurant,Indian,Cheap,Soho
Veeraswamy,Indian,Expensive,Soho
Imperial China,Chinese,Moderate,Soho
Café TPT,Chinese,Cheap,Soho
Viet Pho,Vietnamese,Cheap,Soho
Cay Tre Soho,Vietnamese,Moderate,Soho
Temper Soho,Barbeque,Expensive,Soho
HIX Soho,British,Expensive,Soho
Bill's Soho Restaurant,British,Moderate,Soho
Stax Diner,Burgers,Moderate,Soho
Cookhouse Joe,Burgers,Cheap,Soho
Golden Union,Fish and Chips,Moderate,Soho
Randall and Aubin Soho,Fish and Chips,Expensive,Soho
Koshari Street,Middle Eastern,Cheap,Soho
Ishbilia Lebanese Restaurant,Middle Eastern,Expensive,Soho
Suvlaki Soho,Medditerranean,Moderate,Soho
Asakusa,Japanese,Moderate,Camden
Mamak Don,Malaysian,Cheap,Camden
Miusan,Malaysian,Moderate,Camden
Mayling,Chinese,Cheap,Camden
Miusan,Chinese,Moderate,Camden
Feng Shang Princess,Chinese,Expensive,Camden
Masala Zone Camden,Indian,Moderate,Camden
Curry 4 U,Indian,Cheap,Camden
Cote Brasserie,French,Moderate,Camden
Crepes a la carte,French,Cheap,Camden
Thanh Binh,Vietnamese,Cheap,Camden
Muang Thai Restaurant,Thai,Moderate,Camden
Taste of Siam,Thai,Cheap,Camden
Tortilla Camden,Mexican,Cheap,Camden
Café Chula,Mexican,Moderate,Camden
Papa John's ,Italian,Cheap,Camden
Bar Gansa London,Spanish,Moderate,Camden
German Doner Kebab,German,Cheap,Camden
Earl of Camden,British,Moderate,Camden
Odette's ,British,Expensive,Camden
Poppie's,Fish and Chips,Moderate,Camden
Chris' Fish Bar,Fish and Chips,Cheap,Camden
Hache Burgers Camden,Burgers,Moderate,Camden
Mcdonalds,Burgers,Cheap,Camden
Porky's BBQ Camden,Barbeque,Moderate,Camden
Zala Levantine Grill,Middle Eastern,Moderate,Camden
Oli Baba's,Middle Eastern,Cheap,Camden
Yamas Greek Cuisine,Medditerranean,Cheap,Camden
